latitude,longtitude,floorSize,url,price
33.96023,-118.40387,"2,559",https://www.zillow.com/homedetails/6566-W-85th-Pl-Los-Angeles-CA-90045/250346310_zpid/,"$1,650,000"
34.099888,-118.416025,,https://www.zillow.com/homedetails/67-Beverly-Park-Ct-1-Beverly-Hills-CA-90210/2076718296_zpid/,"$150,000,000"
33.969771,-118.42653,790,https://www.zillow.com/homedetails/6400-Crescent-Park-E-Playa-Vista-CA-90094/72506557_zpid/,"$715,000"
34.149283,-118.406991,"5,000",https://www.zillow.com/homedetails/4326-Beeman-Ave-Studio-City-CA-91604/20028902_zpid/,"$3,995,000"
33.966772,-118.271831,"1,242",https://www.zillow.com/homedetails/160-E-80th-St-Los-Angeles-CA-90003/20945213_zpid/,"$599,999"
34.139682,-118.448628,,https://www.zillow.com/homedetails/0-Knobhill-Dr-0-Sherman-Oaks-CA-91423/2077603615_zpid/,"$75,000"
33.777602,-118.25908,"1,135",https://www.zillow.com/homedetails/1141-King-Ave-2-Wilmington-CA-90744/2076799426_zpid/,"$500,000"
33.96182,-118.391224,"2,400",https://www.zillow.com/homedetails/8414-Bleriot-Ave-Los-Angeles-CA-90045/20380667_zpid/,"$3,000,000"
34.08269,-118.194542,,https://www.zillow.com/homedetails/4344-Esmeralda-St-Los-Angeles-CA-90032/250221517_zpid/,"$160,000"
34.104969,-118.29748,"8,968",https://www.zillow.com/homedetails/1835-N-Kenmore-Ave-3-Los-Feliz-CA-90027/2078406576_zpid/,"$6,894,000"
34.068563,-118.304486,910,https://www.zillow.com/homedetails/315-S-Harvard-Blvd-UNIT-206-Los-Angeles-CA-90020/20773966_zpid/,"$695,000"
34.093092,-118.219223,,https://www.zillow.com/homedetails/610-Beech-St-Los-Angeles-CA-90065/250222111_zpid/,"$85,000"
34.208836,-118.562559,"2,100",https://www.zillow.com/homedetails/7611-Corbin-Ave-Winnetka-CA-91306/19907694_zpid/,"$755,000"
34.16791,-118.526515,823,https://www.zillow.com/homedetails/5334-Lindley-Ave-UNIT-105-Los-Angeles-CA-91316/19938291_zpid/,"$375,000"
34.099409,-118.378878,,https://www.zillow.com/homedetails/1605-Mountcrest-Ave-Los-Angeles-CA-90069/250223321_zpid/,"$625,000"
34.247784,-118.293213,,https://www.zillow.com/homedetails/9822-Redmont-Ave-Tujunga-CA-91042/250217493_zpid/,"$51,000"
34.253846,-118.26778,,https://www.zillow.com/homedetails/6238-Sister-Elsie-Dr-Tujunga-CA-91042/250217824_zpid/,"$24,000"
34.003722,-118.266808,,https://www.zillow.com/homedetails/486-E-Vernon-Ave-Los-Angeles-CA-90011/95682325_zpid/,"$495,000"
34.07543,-118.255099,,https://www.zillow.com/homedetails/1492-W-Sunset-Blvd-Los-Angeles-CA-90026/302685284_zpid/,"$2,100,000"
34.230565,-118.629654,,https://www.zillow.com/homedetails/8369-N-Hillcroft-Dr-West-Hills-CA-91304/2077787797_zpid/,"$2,325,000"
34.247682,-118.293271,,https://www.zillow.com/homedetails/9818-Redmont-Ave-Tujunga-CA-91042/250217494_zpid/,"$165,000"
34.125356,-118.177763,"2,090",https://www.zillow.com/homedetails/1020-Lantana-Dr-Los-Angeles-CA-90042/20769754_zpid/,"$1,300,000"
34.206636,-118.593988,"1,282",https://www.zillow.com/homedetails/7502-Milwood-Ave-Canoga-Park-CA-91303/19911215_zpid/,"$709,000"
34.110423,-118.375414,"2,207",https://www.zillow.com/homedetails/2190-Beech-Knoll-Rd-Los-Angeles-CA-90046/82582488_zpid/,"$2,699,000"
33.982543,-118.288348,"1,218",https://www.zillow.com/homedetails/836-W-62nd-Pl-Los-Angeles-CA-90044/20928840_zpid/,"$405,598"
34.057765,-118.356241,"4,616",https://www.zillow.com/homedetails/5809-W-Olympic-Blvd-Los-Angeles-CA-90036/20610355_zpid/,"$1,750,000"
34.158036,-118.601304,"7,200",https://www.zillow.com/homedetails/21610-Medina-Estates-Dr-Woodland-Hills-CA-91364/19944340_zpid/,"$2,899,000"
34.131087,-118.372044,"10,300",https://www.zillow.com/homedetails/7863-Mulholland-Dr-Los-Angeles-CA-90046/95536653_zpid/,"$11,000,000"
34.13858,-118.2063,504,https://www.zillow.com/homedetails/5051-Argus-Dr-TRLR-23-Los-Angeles-CA-90041/2093372306_zpid/,"$96,000"
34.179581,-118.530129,"1,877",https://www.zillow.com/homedetails/18230-Oxnard-St-UNIT-113-Los-Angeles-CA-91356/19935799_zpid/,"$699,000"
34.264195,-118.59881,"3,000",https://www.zillow.com/homedetails/21440-Chatsworth-St-Chatsworth-CA-91311/20162313_zpid/,"$1,200,000"
34.140601,-118.430956,"3,689",https://www.zillow.com/homedetails/3941-Weslin-Ave-Sherman-Oaks-CA-91423/302797531_zpid/,"$2,499,000"
34.18282,-118.614802,"1,533",https://www.zillow.com/homedetails/6145-Shoup-Ave-UNIT-46-Woodland-Hills-CA-91367/19877234_zpid/,"$575,000"
34.279803,-118.576645,"1,399",https://www.zillow.com/homedetails/20164-Pienza-Ln-Porter-Ranch-CA-91326/2132902762_zpid/,"$721,000"
34.185164,-118.653229,"1,150",https://www.zillow.com/homedetails/24231-Victory-Blvd-West-Hills-CA-91307/19873686_zpid/,"$715,000"
34.09926,-118.443427,"1,518",https://www.zillow.com/homedetails/1557-N-Beverly-Glen-Blvd-Los-Angeles-CA-90077/20529746_zpid/,"$1,399,000"
34.150069,-118.426755,"1,150",https://www.zillow.com/homedetails/13454-Moorpark-St-UNIT-4-Los-Angeles-CA-91423/20022614_zpid/,"$653,995"
33.736263,-118.282188,"1,530",https://www.zillow.com/homedetails/236-W-9th-St-Los-Angeles-CA-90731/21308441_zpid/,"$680,000"
34.056301,-118.414674,"4,450",https://www.zillow.com/homedetails/1-W-Century-Dr-UNIT-35A-Los-Angeles-CA-90067/95582682_zpid/,"$10,950,000"
34.28545,-118.456717,"1,358",https://www.zillow.com/homedetails/14925-Hubbard-St-Sylmar-CA-91342/20111180_zpid/,"$649,900"
34.174904,-118.453395,"1,920",https://www.zillow.com/homedetails/5733-Cedros-Ave-Van-Nuys-CA-91411/19972628_zpid/,"$985,000"
34.063351,-118.177083,"1,000",https://www.zillow.com/homedetails/1861-Marney-Ave-Los-Angeles-CA-90032/20644316_zpid/,"$689,990"
34.176364,-118.539321,911,https://www.zillow.com/homedetails/18620-Hatteras-St-UNIT-138-Los-Angeles-CA-91356/19934534_zpid/,"$349,000"
33.718051,-118.291816,914,https://www.zillow.com/homedetails/706-W-29th-St-San-Pedro-CA-90731/21313169_zpid/,"$3,000,000"
33.945252,-118.26138,"1,062",https://www.zillow.com/homedetails/736-E-Century-Blvd-Los-Angeles-CA-90002/20958711_zpid/,"$485,000"
34.189851,-118.552961,"1,297",https://www.zillow.com/homedetails/19249-Hamlin-St-UNIT-2-Los-Angeles-CA-91335/19921119_zpid/,"$489,000"
34.096043,-118.358494,"3,418",https://www.zillow.com/homedetails/1357-N-Genesee-Ave-Los-Angeles-CA-90046/20795575_zpid/,"$4,300,000"
